relative_path,directory,filename,extension,size_bytes,modified_at,file_hash,preliminary_category,priority,duplicate_status,document_group,notes
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/22019.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,22019.csv,csv,347,2026-09-22T11:18:42Z,a7998abbf47db7cc43b8bca1fc6f9a4a,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/22022.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,22022.csv,csv,345,2026-09-22T11:18:42Z,0e5de387d6fafe10babadd4feaea2df6,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/Dem_Reserva_Inter_01_25.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,Dem_Reserva_Inter_01_25.csv,csv,1653,2026-09-22T11:18:42Z,770bd6adb8f63689d02de0569259b7dc,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/Demon_Reserva_Inter_01_25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,Demon_Reserva_Inter_01_25.xlsx,xlsx,108422,2026-09-22T11:18:42Z,8d91c4d779b2192ea4587e2293f7ccf9,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/Novo_Caged_01_25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,Novo_Caged_01_25.xlsx,xlsx,37748440,2026-09-22T11:18:42Z,0604b122fe3d59b6380d3116abe6ce1b,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/PIB_2024.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,PIB_2024.xlsx,xlsx,389715,2026-09-22T11:18:42Z,4e636171d9d04d102e530ce568afdc0e,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/inpc_itens.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,inpc_itens.xlsx,xlsx,10964,2026-09-22T11:18:42Z,3edee21d658e3770d40fbbc615a5d4ad,inflação e custo de vida,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/peic_link_download_202502.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,peic_link_download_202502.xlsx,xlsx,191624,2026-09-22T11:18:42Z,0e870d26e06483b5d193a1c99fabc7e4,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_demanda_interna.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_demanda_interna.xlsx,xlsx,18138,2026-09-22T11:18:42Z,ed1916b6ca77ed3143f457d1819a9bae,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_industria_sazonal.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_industria_sazonal.xlsx,xlsx,18187,2026-09-22T11:18:42Z,150ad176eee78d5d86c8dc80f7114775,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_oferta.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_oferta.xlsx,xlsx,17638,2026-09-22T11:18:42Z,ac00f72ef705fd0c068d0523aa92e19d,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_oferta_interna.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_oferta_interna.xlsx,xlsx,17043,2026-09-22T11:18:42Z,54aadcf62c63b13c8f9f93a8aa8713b4,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_t3.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_t3.xlsx,xlsx,10780,2026-09-22T11:18:43Z,f8686805d8b4b528fd842e4116c5366f,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pib_trimestral.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pib_trimestral.xlsx,xlsx,6247,2026-09-22T11:18:43Z,87d37722aaa650c3ee6d4a5dceb98a92,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pim_num_ind.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pim_num_ind.xlsx,xlsx,13328,2026-09-22T11:18:43Z,9adb71edaebf6c0595fdc018a61e5333,indústria,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pmc_03_2025.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pmc_03_2025.xlsx,xlsx,6199,2026-09-22T11:18:43Z,357876a1cf8937e4fc167a3060d62326,comércio,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pmc_ind_sazonal.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pmc_ind_sazonal.xlsx,xlsx,6384,2026-09-22T11:18:43Z,bce39d55a88b407b6a14aa54daf5b823,comércio,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pmc_num_ind.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pmc_num_ind.xlsx,xlsx,5445,2026-09-22T11:18:43Z,4f5a80bf2d7cd4515cbfc02c5749660b,comércio,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pmf_varmens_anual.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pmf_varmens_anual.xlsx,xlsx,5937,2026-09-22T11:18:43Z,6aaa26a0bb7d117dbbdfe54a44f6331c,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pms_03_2025.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pms_03_2025.xlsx,xlsx,9195,2026-09-22T11:18:43Z,3ff6bcfb7e29b19a763cca867cb86091,serviços,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pms_indic_saz_03_2025.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pms_indic_saz_03_2025.xlsx,xlsx,6429,2026-09-22T11:18:43Z,55c5035756686a5e91504ea8dc4215b7,serviços,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pms_num_ind.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pms_num_ind.xlsx,xlsx,5473,2026-09-22T11:18:43Z,3b2cc7598cc92228f7f506dd4dc6e951,serviços,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/pms_var_mens_12mes.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,pms_var_mens_12mes.xlsx,xlsx,5266,2026-09-22T11:18:43Z,1138041968181c801ef6a629bd6b7df3,serviços,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/t2_pnad_4t_2024.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,t2_pnad_4t_2024.xlsx,xlsx,6173,2026-09-22T11:18:43Z,a9b14e87812c6c6c02a337fcb7280214,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/t3_pnad_4t_2024.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,t3_pnad_4t_2024.xlsx,xlsx,6115,2026-09-22T11:18:43Z,7068a9588f531e9ae3bb04d278a0a2da,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/t4_pnad_4t_2024.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,t4_pnad_4t_2024.xlsx,xlsx,10837,2026-09-22T11:18:43Z,9e536c7d55328585e27f11b45247a1db,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/t7_pnad_4t_2024.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,t7_pnad_4t_2024.xlsx,xlsx,6269,2026-09-22T11:18:43Z,467ec0a997c0e1d52c6f511ec8b56a0f,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/taxascredito.xls,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,taxascredito.xls,xls,218112,2026-09-22T11:18:43Z,6e9488a222f905af985ab89d89fa355f,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/tr_3t_2025_pnad.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,tr_3t_2025_pnad.xlsx,xlsx,7654,2026-09-22T11:18:43Z,14c781ac7de1316e19d8eebb5ff26ad7,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/tx_selic.csv,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,tx_selic.csv,csv,104364,2026-09-22T11:18:43Z,f0c268c632abbeb47ef3974fde22eb8b,crédito e juros,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/tx_selic.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,tx_selic.xlsx,xlsx,91210,2026-09-22T11:18:43Z,22fed65ba7272705f1a51370f5d67c77,crédito e juros,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos/var_pib_demanda.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Dados Brutos,var_pib_demanda.xlsx,xlsx,16697,2026-09-22T11:18:43Z,d1c74a2418ec43dede7a8f887b5dc07c,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Apresentação_Conjuntura_03-25 (2).xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Apresentação_Conjuntura_03-25 (2).xlsx,xlsx,441761,2026-09-22T11:18:43Z,ed7bb429143a9a2f92ca289055b8e697,análise de conjuntura,P2,DUPLICATA_EXATA;POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Apresentação_Conjuntura_03-25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Apresentação_Conjuntura_03-25.xlsx,xlsx,427663,2026-09-22T11:18:43Z,405c47937eea66b2dcb3dae9e1acbb6b,análise de conjuntura,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Macroeconomia_2025.03_v4.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Macroeconomia_2025.03_v4.xlsx,xlsx,237792,2026-09-22T11:18:43Z,5f21e91fa62ee619b8d7f0e62a1f7750,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Monetário_03-25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Monetário_03-25.xlsx,xlsx,470824,2026-09-22T11:18:43Z,286f53b0570ab3bf747ee2b7f7728c3c,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Novo Caged_01-25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Novo Caged_01-25.xlsx,xlsx,73720,2026-09-22T11:18:43Z,1459e98fc740818a2566bc0c325a3a78,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/PIB X Selic_03-25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,PIB X Selic_03-25.xlsx,xlsx,84444,2026-09-22T11:18:43Z,7d369e3f9e1eaeddf5018c8fa25227f6,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/PNAD_2025.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,PNAD_2025.xlsx,xlsx,88246,2026-09-22T11:18:43Z,6db2fcfa123bc54a47b780908fdc6881,mercado de trabalho,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/Preços_Inflação_03-25.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,Preços_Inflação_03-25.xlsx,xlsx,162626,2026-09-22T11:18:43Z,23dc4af2807042686cfe5c1a4fbf23c6,inflação e custo de vida,P2,BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo/SM e Cesta desde 1979.xlsx,Apresentação de conjuntura/Backup/Dados_2025.03/Definitivo,SM e Cesta desde 1979.xlsx,xlsx,44631,2026-09-22T11:18:43Z,a54a00912c0dee0c763d218f6ae1b186,inflação e custo de vida,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-03,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/1084 - Serviços.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,1084 - Serviços.csv,csv,163,2026-09-22T11:18:43Z,29ebf0dc3a4ff7dcf472b875727801eb,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/202504_Tabelas_de_estatisticas_monetarias_e_de_credito.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,202504_Tabelas_de_estatisticas_monetarias_e_de_credito.xlsx,xlsx,1069745,2026-09-22T11:18:43Z,3c81cb38fa94bded1874c8950bf3abfc,crédito e juros,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20728.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20728.csv,csv,329,2026-09-22T11:18:43Z,e6b974657d8c3da42d8e45f60d6cbb8a,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20741.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20741.csv,csv,334,2026-09-22T11:18:43Z,446d2eaf0d01533c978241cac5d51853,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20742.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20742.csv,csv,339,2026-09-22T11:18:43Z,fd9b95c31a6cb73bd2e9bfa9fb82ed4b,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20747.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20747.csv,csv,338,2026-09-22T11:18:43Z,67352d96424b8af6d959192a3606ac68,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20749.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20749.csv,csv,327,2026-09-22T11:18:43Z,3d3d877b8d28948271ceb3d5b9ea8eb0,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/20772.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,20772.csv,csv,358,2026-09-22T11:18:43Z,2c5825dc3b776ee3fb460e5bd77eb9d1,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/22019.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,22019.csv,csv,347,2026-09-22T11:18:43Z,81235968814638739faac056e3b386c2,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/22022.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,22022.csv,csv,345,2026-09-22T11:18:43Z,e0a367af6ae2ea831f6527173ec614ef,bases e planilhas,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/3-tabelas_Março de 2025.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,3-tabelas_Março de 2025.xlsx,xlsx,39946817,2026-09-22T11:18:43Z,eda0656a7fd7e985338948fb3c01e9a9,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/3546.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,3546.csv,csv,1669,2026-09-22T11:18:43Z,f1955ab76a3667201a5bfcb977794212,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/4449 - Monitorados.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,4449 - Monitorados.csv,csv,168,2026-09-22T11:18:43Z,53d858657e60abdd6149d8060d2669da,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/5045.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,5045.csv,csv,1355,2026-09-22T11:18:43Z,47bf057d9b6ea49f5e1a247347b45c56,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/5474.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,5474.csv,csv,969,2026-09-22T11:18:43Z,e485ccb3fec900755c175ecef6eba54a,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/CAGED - Abril.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,CAGED - Abril.xlsx,xlsx,40589657,2026-09-22T11:18:44Z,59f702b1cb90dbc1ba45580363fa3171,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/CANAS 2025_04.xlsm,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,CANAS 2025_04.xlsm,xlsm,156005,2026-09-22T11:18:43Z,3d9df8442d18cd20b7b4f568cde7ec61,bases e planilhas,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/DemonstrReservas_M.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,DemonstrReservas_M.xlsx,xlsx,108978,2026-09-22T11:18:43Z,447370050647c28b79b3115d776a9bf4,crédito e juros,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/ICEI - 02-25.xls,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,ICEI - 02-25.xls,xls,34304,2026-09-22T11:18:43Z,ec70f10977c1f977a23e5b7b5b23690f,indústria,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/IPCA - Bens nduraveis - 10841.csv,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,IPCA - Bens nduraveis - 10841.csv,csv,161,2026-09-22T11:18:43Z,44517f253337e5bca6f6dd56f5f0fed3,inflação e custo de vida,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - Formação capital.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - Formação capital.xlsx,xlsx,7071,2026-09-22T11:18:44Z,bb587d1de569cdeeb019cce5f63a54d1,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - Preços Mercado 1996.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - Preços Mercado 1996.xlsx,xlsx,7016,2026-09-22T11:18:44Z,4bdcd1e3400c61ee769c9948f03b5aa2,inflação e custo de vida,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - Preços de Mercado.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - Preços de Mercado.xlsx,xlsx,5634,2026-09-22T11:18:44Z,73e809c0a356100a1d3175fbb147ae46,inflação e custo de vida,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - Setores e subsetores (1).xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - Setores e subsetores (1).xlsx,xlsx,5668,2026-09-22T11:18:44Z,310e676ba8eb150d4c4843f0eb3810b5,atividade econômica,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - Setores e subsetores.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - Setores e subsetores.xlsx,xlsx,5883,2026-09-22T11:18:44Z,d0e1e0505629d94f29332f6d9a862b73,atividade econômica,P2,POSSIVEL_VERSAO;BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PIB - tx acumu 4trimestres.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PIB - tx acumu 4trimestres.xlsx,xlsx,5634,2026-09-22T11:18:44Z,6decaf69600846d74c7c022812c4aaab,atividade econômica,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PNAD - 4093 - desocu grande região.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PNAD - 4093 - desocu grande região.xlsx,xlsx,6171,2026-09-22T11:18:43Z,0873e990a86bcd3c70b1e779a635beb7,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-05,
Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos/PNAD - 4093 - desocu.xlsx,Apresentação de conjuntura/Backup/Dados_2025_05/Dados Brutos,PNAD - 4093 - desocu.xlsx,xlsx,7410,2026-09-22T11:18:43Z,2611b246fa36956229c567f6ff02816c,mercado de trabalho,P2,BACKUP_APARENTE,snapshot-2025-05,
